Resources Type ,Name of Prevention Service,Center Name,Address,Contact Person,Contact Phone Number,Contact Email,Type of Service Provided,Website (if available),Zip Codes Served,
Home Visiting,Parents as Teachers (PAT),Wesley-Rankin Community School Lumin Education,"3100 Crossman Avenue, Dallas, Texas 75212",,(214) 824-8950 ext. 254,,,,,
Home Visiting,Parents as Teachers (PAT),Family Outreach of East Dallas,"9100 Diceman , Dallas, Texas 75218",,(214) 321-6292,,,,,
Home Visiting,Parents as Teachers (PAT),Family Care Connection,"6969 Pastor Bailey Drive, Suite 140, Dallas, Texas 75237",,(972) 298-3366,,,,,
Home Visiting,Parents as Teachers (PAT),Region 10,904 Abrams Road Richardson Texas 75083,,(972) 348-1622,,,,,
Home Visiting,Parents as Teachers (PAT),Bachman Lake Community School - Lumin Education,"3108 Valley Meadow Drive, E110, Dallas, Texas 75220",,(214) 351-6700,,,,,
Home Visiting,Parents as Teachers (PAT),Garland ISD,"870 W. Buckingham Road, Garland, Texas 75040",Sondra Reid,(972) 487-4498,,,,,
Home Visiting,AVANCE Parent Child Education Program,AVANCE Dallas Foundation,"2060 Singleton Blvd # 103, Dallas, TX 75212",Anne Thomas,(214) 887-9907,,Parent-Child Education; Fatherhood Initiative; Workplace English Program; Parent-Child Book Club,https://www.avance-dallas.org/,,
Home Visiting,Healthy Families America (HF),Dallas County Administrative Office,"4210 Junius Street
Dallas, Texas 75246",,214-370-9810,,,https://www.family-compass.org/,,
Home Visiting,Positive Parenting Program (PPP or Triple P),Family Outreach Dallas,"8525 Audelia Road, Dallas, TX 75238",Jane Collins,214-321-6292,,,http://www.healthyntexas.org/index.php?module=promisepractice&controller=index&action=view&pid=3517,,
Home Visiting,Positive Parenting Program (PPP or Triple P),Children's Health,"2777 N Stemmons Fwy, Dallas, TX 75207",Michelle Anguiano ,,,,,,
"Women, Infant and Child",WIC,Martin Luther King Jr Clinic,"2922-B MLK JR BLVD Dallas, TX, 75215",,214-670-7200,,"Help For Children and Single Mothers, Medical Assistance ",,,
"Women, Infant and Child",WIC,Gaston Ave Clinic,"3910 Gaston Suite 140 Dallas, TX, 75246",,214-670-7200,,"Help For Children and Single Mothers, Medical Assistance ",,,
"Women, Infant and Child",WIC,Oak Cliff Clinic,"1113 East Jefferson Suite 100 Dallas, TX, 75203",,214-670-7200,,"Help For Children and Single Mothers, Medical Assistance ",,,
"Women, Infant and Child",WIC,Los Barrios Unidos WIC SE,"809 Singleton BLVD Dallas, TX, 75212",,214-761-0956,,"Help For Children and Single Mothers, Medical Assistance ",,,
"Women, Infant and Child",WIC,Medical District Clinic,"2600 North Stemmons FRWY Dallas, TX 75207",,214-670-7200,,"Help For Children and Single Mothers, Medical Assistance ",,,
"Women, Infant and Child",WIC,Lake June Clinic ,"6925 Lake June Road Dallas, TX, 75217",,214-670-7200,,"Help For Children and Single Mothers, Medical Assistance ",,,
"Women, Infant and Child",WIC,Urban Inter-Tribal Center,"1283 Record Crossing Dallas, TX, 75235",,214-941-1050,,"Help For Children and Single Mothers, Medical Assistance ",,,
"Women, Infant and Child",WIC,Westmoreland Clinic,"1050 North Westmoreland, Suite 316Dallas, TX, 75211",,214-670-7200,,"Help For Children and Single Mothers, Medical Assistance ",,,
"Women, Infant and Child",WIC,Buckner/John West Clinic,"3302 North Buckner Suite 130 Dallas, TX, 75228",,214-670-7200,,"Help For Children and Single Mothers, Medical Assistance ",,,
"Women, Infant and Child",WIC,Ledbetter Clinic ,"1111 West Ledbetter St, Suite 600 Dallas, TX, 75224",,214-670-7200,,"Help For Children and Single Mothers, Medical Assistance ",,,
"Women, Infant and Child",WIC,Lancaster Rd Clinic,"8702 S Lancaster Rd, Suite 160 Dallas, TX, 75216",,214-670-7200,,"Help For Children and Single Mothers, Medical Assistance ",,,
"Women, Infant and Child",WIC,Alley’s House,"4105 Junius Street, Dallas, TX 75246",,214-824-8700,,"A support program from teen mothers and their babies, Parenting Classes ",http://alleyshouse.org,,
"Women, Infant and Child",WIC,Bethlehem Center,"4410 Leland Ave., Dallas, TX 75215",Fran Lobpries,214-428-5171,,"Child Development Center, Youth Activities ",http://www.dallasbethlehemcenter.org,,
"Women, Infant and Child",WIC,Mesquite WIC Clinic,"3218 Hwy 67 (i-30),suite 120, Mesquite, TX - 75150",,214-670-7200,,,http://www.wicprograms.org/li/mesquite_wic_clinic_75150,,
"Women, Infant and Child",WIC,North Central Dallas WIC,"8202 Spring Valley Rd, 100
Dallas, TX - 75240",,214-670-7200,,,http://www.wicprograms.org/li/north_central_dallas_wic_75240,,
"Women, Infant and Child",WIC,Northwest Dallas WIC Site,"3100 N. Northwest Hwy
Dallas, TX - 75220",,214-670-7200,,,http://www.wicprograms.org/li/northwest_dallas_wic_site_75220,,
"Women, Infant and Child",WIC,Meadow Park Central IV WIC Office,"6012 ABRAMS RD, STE 150
DALLAS, TX - 75231",,214-670-7200,,,http://www.wicprograms.org/li/tx_75231_meadow-park-central-iv-wic-office,,
"Women, Infant and Child",WIC,Old Denton Road WIC,"3044 Old Denton Road, Suite 113
Carrollton, TX - 75007",,972-446-1507,,,"http://www.wicprograms.org/li/old_denton_road_wic_75007
",,
"Women, Infant and Child",WIC,Carrollton WIC Site,"1235 South Josey Lane, Suite 518
Carrollton, TX - 75006",,214-670-7200,,,http://www.wicprograms.org/li/carrollton_wic_site_75006,,
"Women, Infant and Child",WIC,Grand Prairie Health Center WIC,"828 S. Carrier Pkwy., Suite 100
Grand Prairie, TX - 75051",,214-670-7200,,,http://www.wicprograms.org/li/grand_prairie_health_center_wic_75051,,
"Women, Infant and Child",WIC,Duncanville WIC,"1110 S. Santa Fe Trail, Suite 1
Duncanville, TX - 75137",,214-670-7200,,,http://www.wicprograms.org/li/duncanville_wic_75137,,
"Women, Infant and Child",WIC,West Garland WIC,"302 North Barnes Drive
Garland, TX - 75042",,214-670-7200,,,http://www.wicprograms.org/li/west_garland_wic_75042,,
"Women, Infant and Child",WIC,Planned Parenthood,"Prestonwood Place 5290 Belt Line Rd #134 Addison, TX 75254",,(972) 991-1424,,"Women's health, pregnancy and health assistance",plannedparenthood.org,,
Parent Education,Parent Education,Dallas Association for Parent Education,3544 E. Emporium Circle Mesquite TX 75150,,972-699-0420,,,www.dallasparents.org,,
Parent Education,Parent Education,Uplift Education,"606 E Royal Ln, Irving, TX 75039",,(972) 373-9806,,,,,
Parent Education,Parent Education ,Uplift Education,"1825 Market Center Blvd, Dallas, TX 75207",,(469) 621-8500,,"participating families’ and schools build trusting relationships and gain the necessary knowledge and tools to strengthen the scholar, parent, and teacher triangle.",,,
Parent Education,Parent Education,Dallas Avance ,"2060 Singleton Blvd., Ste 103 Dallas, TX 75212",,214-887-9907,,Parenting eduation ,www.avance-dallas.org,,
Parent Education,Parent Education,Vogel Alcove,"1738 Gano St, Dallas, TX 75215",,(214) 368-8686,,parent education program aimed at increasing parents’ knowledge of child development and effective parenting techniques.,,,
Parent Education,Parent Education,Vickery Meadow Learning Center,"6329 Ridgecrest Rd, Dallas, TX 75231",,(214) 265-5057,,multiple parenting programs,,,
Parent Education,Parent Education,Dallas Urban League,"4315 S. Lancaster Rd., Dallas, Texas 75216",,214-915-4600,,,,,
Parent Education,Parent Education,Family Outreach Dallas ,"9100 Diceman, Dallas, TX 75218",,214-321-6292,,"Parenting education and mentoring, early childhood parent education and child safety programs.",www.familyoutreach-northtexas.org,,
Parent Education,Parent Education,HPUMC ,"3300 Mockingbird Ln, Dallas, TX 75205",,214-521-3111,,"Multiple different classes for parents, single parents, support groups",http://www.hpumc.org/life-resources/parenting/,,
Parent Education,Parent Education,New Beginning Center,"218 N 10th St, Garland, TX 75040",,(972) 276-0423,,"parent education to assist parents in understanding the impact of domestic violence on their children, appropriate discipline techniques, available resources for children, and other forms of assistance as needed.",,,
Parent Education,Parent Education,Mosaic Family Services,"4144 N Central Expy #530, Dallas, TX 75204",,(214) 821-5393,,parenting classes that are 6 weeks long and parents will receive a certificate of completion at the end.,,,
Parent Education,Parent Education,Aaron Family Jewish Community Center of Dallas ,"7900 NorthHaven Rd, Dallas, TX 75230",,214-739-2737,,"Fitness programs for everyone, single parents, families, children ",http://www.jccdallas.org,,
Parent Education,Parent Education,Momentous Institute Oak Cliff Campus,"106 E. Tenth Street, Dallas, TX 75203",,214-915-4700,,"parent education classes which focus on strengthening the parent-child relationship and sharing practical, research-based information that helps parents approach their job with more insight and confidence.",,,
Parent Education,Parent Education,Momentous Institute Harry Hines Campus,"9705 Harry Hines Blvd, Dallas, TX 75220",,,,"parent education classes which focus on strengthening the parent-child relationship and sharing practical, research-based information that helps parents approach their job with more insight and confidence.",,,
Parent Education,Parent Education,Turn Around Agenda,"7125 S Polk St #1, Dallas, TX 75232",,(972) 228-0872,,give parents the knowledge and skills necessary to parent their children from birth to school age.,,,
Parent Education,Parent Education,Famiy Affair Center ,,Kay Burleson,214-681-3005,,"Supervised Visitations, Safe Exchanges and Child/Parenting Services",http://afamilyaffairoftexas.com,,
Parent Education,Parent Edcation,The Healing Branch,"P O Box 381311 Duncanville, TX 75138",,1-877-295-5855,info@thehealingbranch.org,"parents learn how to have a lifetime of age-appropriate conversations with their children about healthy sexuality, personal power and personal boundaries.",,,
Parent Education,Parent Education,Richardson ISD PACE Program,"400 S. Greenville Ave., Richardson, Texas 75081",,(469) 593-0000,,parent education curriculum focusing on the alternatives to physical punishment in the discipline of children.,,,
Parent Education,Parent Education,Parents as Teachers ,"P.O. BOX 38405, DALLAS, TX 75238",,214.363.8661,,"personal visits, group connections, screenings, and resource referrals.",http://www.txpat.org/,,
Parent Education,Parent Education,The Dallas Association for Parent Education,3544 E. Emporium Circle Mesquite TX 75150,,972-699-0420,,"Teacher/Parent workshops, CPR classes, childbirth classes ",http://www.dallasparents.org/index.htm,,
Parent Education,Parent Education,Putting Kids First ,online classes ,,888-300-4707,,"Parenting Online classes, Co-parenting online classes, Divorce Classes ",http://puttingkidsfirst.org/,,
Parent Education,Parent Education,"Catholic Charities of Dallas, Inc.","9461 LBJ Freeway, Suite 110 Dallas, TX 75243",,214-526-2772,,"Parenting program offers parenting classes, baby items & referrals for community resources.",https://www.catholiccharitiesdallas.org,,
Parent Education,Parent Education,Lifeline of Hope Family Services,"500 N. Hampton Rd, Suite A1, Desoto, TX 75115",Jennifer Johnson,972-850-8116,,"Parenting skills education, Teen Parenting, Domestic Violence, Co-parenting ",,,
Parent Education,Parent Education ,Child Care Group ,"1420 West Mockingbird Lane, Suite 300, Dallas, TX  75247 ",,,,,,,
Parent Education,Parent Education,Family Leadership & Empowerment Network,"1327 Empire Central, Suite 216, Dallas, TX 75247",Joyce White,214-928-9494,,Help individuals and families become high functioning and self-sufficient through training and providing resources.,https://sites.google.com/site/flenlifeskills/,,
Parent Education,Parent Education,Medical City Dallas,"7777 Forest Ln, Dallas, TX 7777 75230",,(972) 566-7000,,offers the program Sweet Beginnings which is a fun class for new moms and their babies in their first year of life together.,,,
Parent Education,Parent Education,Alley’s House,"4105 Junius Street, Dallas, TX 75246",,214-824-8700,,"A support program from teen mothers and their babies, Parenting Classes ",http://alleyshouse.org/,,
Parent Education,Parent Education,Wilkinson Center,"3302 N. Buckner Blvd., Suite 111 Dallas, Texas 75228",,(972) 284-0320,,"Parenting workshop, Adult Education, and Food & Emergency services",http://www.thewilkinsoncenter.org/programs/family-enhancement/,,
Parent Education,Parent Education,Kids University,"11283 Woodmeadow Pkwy, Dallas, TX 75228",,(214) 503-3672,diana@kids-u.org,"Our Family Services program extends their educational reach to the adults of these communities providing: ESL & GED classes, Adult Computer Literacy Programs, Financial Literacy Programs and Parenting workshops.",,,
Parent Education,Parent Education,254th Family District Court,"600 Commerce Street, 3rd Floor New Tower, Dallas, TX 75202",,(214) 653-6136,,"Parent Education Program - No on-line classes
Children in the Middle - (800) 239-3971
For Kids Sake - (214) 526-4525
Child and Family Guidance - (214) 351-3490
Dallas Association for Parent Education – (972) 699-0420",http://www.dallascounty.org/department/courts/family_district/254th/co_parenting.php,,
Parent Education,Parent Education,Garland ISD,,,,,"Grand Prairie ISD offers parenting skills classes using the Practical Parenting Curriculum, Family Frameworks, and other related material.",,,
Parent Education,Parent Education,Children's Medical Center (Safe Kids Greater Dallas),"1935 Motor Street, Dallas, TX 75235",,214 456-7937,,"Car Safety, Home Safety, Water Safety, Pedestrian Safety, and Playground & Wheeled Sport Safety.",,,
Parent Education,Parent Education,Genesis Women's Shelter,"4411 Lemmon Ave., Suite 201, Dallas, TX 75219",,214.946.HELP,,Genesis Women’s Shelter provides parent training which teaches parents how to improve relationships with their children and how to break the cycle of violence with their children.,,,
Parent Education,Parent Education,Family Compass,"Dallas County Administrative Office, 4210 Junius Street, Dallas, TX 75246",,214-370-9810,,"Bringing Families Together seeks to prevent the cycle of abuse for vulnerable families by reducing family and parental isolation, increasing support networks, teaching positive parenting skills, and providing access to community resources.",,,
Parent Education,Parent Education,Between Two Homes LLC,"1106 N. State Highway 360 (1106 N. Watson Road), Ste. 400 
Grand Prairie, TX 75050
",,(800) 239-3971,support@childreninthemiddle.com,Live and online co-parenting classes.,http://www.childreninthemiddle.com/,,
Substance Abuse Treatment,Substance Abuse Treatment,The Council on Alchohal and Drug abuse,"1349 Empire Central drive, Suite 800, Dallas, TX 75247",,214-522-8600,info@dallascouncil.org,"Community services, Substance abuse hepline, Prevention resounrce center",http://dallascouncil.org/,,
Substance Abuse Treatment,Substance Abuse Treatment,"Homeward Bound, Inc.",,,214-941-3500,,"Men's residential program, Recovery support services, Drug offender education",http://www.homewardboundinc.org/index.html,,
Substance Abuse Treatment,Substance Abuse Treatment,"Nexus Recovery Center, Inc.","8733 La Prada Dr, Dallas, TX 75228",,214-321-0156,help@nexusrecovery.org,Substance abuse services for females,http://www.nexusrecovery.org/home.html,,
Substance Abuse Treatment,Substance Abuse Treatment,Addicare Group of Texas,"2722 W kingsley ste 115, Garland, TX 75041",,972-278-4760,"jay@addicare.com, roger@addicare.com","Individual Treatment plan, Education, Group Counseling, Individual Counseling",http://addicaretx.com/,,
Substance Abuse Treatment,Substance Abuse Treatment,Phoenix House,"2345 Reagan Street, Dallas, TX , 75219",Jack Feinberg,1888-671-9392,texas@phoenixhouse.org,Residential and outpatient treatment to teenagers,http://www.phoenixhouse.org/,,
Substance Abuse Treatment,Substance Abuse Treatment,Cenikor Foundation,"2209 S Main St, Fortworth, TX 76110",,1-888-236-4567,,Long Term Adult inpatient program,http://www.cenikor.org/Default.asp,,
Substance Abuse Treatment,Substance Abuse Treatment,West Texas Counseling and Rehabilitation,"1808 Market Center Blvd, Dallas, TX 75207",,214-630-7146,,"Substance abuse education, group and individual therapy",http://www.wtcr.net/,,
Substance Abuse Treatment,Substance Abuse Treatment,Dallas County Treatment Center,"123 East Colorado Blvd.
 Dallas,TX 75203",Kiran Virani,(214) 946-5540,dallas.tx@cmglp.com,,http://www.methadonetreatment.com/ClinicLocations.aspx?stateID=15&locationID=49,,
Substance Abuse Treatment,Substance Abuse Treatment,Dallas Drug Treatment Center,"2911 Turtle Creek Blvd #300,
Dallas,TX 75219",,(214) 453-5663,,,http://www.dallasdrugtreatmentcenters.com/,,
Substance Abuse Treatment,Substance Abuse Treatment,"Genesis Counseling Associates
","2636 Walnut Hill Ln, Suite 345
Dallas, TX 75229",,(214) 350-2223, info@genesistx.org,"education, intervention, and treatment for substance abuse and related behavioral issues",http://genesistx.org/,,
Substance Abuse Treatment,Substance Abuse Treatment,Solutions Outpaitient Services,"4300 MacArthur Avenue
(NW corner of Lemmon Avenue
& Dallas North Tollway overpass)
Suite 270
Dallas, TX 75209",,(214) 369-1155,info@sosdallas.com,,http://www.sosdallas.com/index.html,,
Substance Abuse Treatment,Substance Abuse Treatment,Turtle Creek Recovery Center,"2707 Routh Street
Dallas, TX 75201",,214.871.2483,Hope@tcrecovery.org,serving both men and women who have co-occurring disorders of severe mental illness and alcohol or drug addiction. ,https://www.tcrecovery.org/pages/contact,,
Child Care,Child Care,Childcare Network #170,"1115 Shady Grove Rd W, Irving TX 75060",,(877) 959-6679,,,,,
Child Care,Child Care,Childcare Network #171,"703 Cedar Ridge, Duncanville TX 75137",,(877) 959-6679,,,,,
Child Care,Child Care,Childcare Network #172,"240 E. Beltline, Cedar Hill, TX 75104",,(877) 959-6679,,,,,
Child Care,Child Care,Childcare Network #196,"3574 S. Carrier Parkway, Grand Prairie TX 75052",,(972) 263-5800,,,,,
Child Care,Child Care,Childcare Network #198,"195 Clark RD N, Cedar Hill TX 75104",,(972) 299-9999,,,,,
Child Care,Child Care,Holy Trinity Academy ,"13555 Hillcrest Road, Dallas TX 75240",,(972) 490-7060,,,,,
Child Care,Child Care,Kids Academy,"1906 Story RD N, Irving TX 75061",,(469) 647-4379,,,,,
Child Care,Child Care,Mona Montessori Academy,"1417 Ismaili Center CIR, Carrollton TX 75006",,(972) 245-1599,,,,,
Child Care,Child Care,North Garland Montessori School,"1613 N Garland Ave, Garland TX 75040",,(972) 494-9300,,,,,
Child Care,Child Care,Oak Tree Academy,"110 Kenya, CedarHill TX 75104",,(972) 291-7893,,,,,
Child Care,Child Care,ChildCareGroup Child Care Asistance,"1420 West Mockingbird Lane, Suite 300, Dallas, TX, 75247",,214-630-5949,,Child care asistance,http://cca.childcaregroup.org/ccg,,
Child Care,Child Care,Education first steps,"2815 Gaston Ave, Dallas. TX, 75226",,214-824-7940,,Early childhood education for economically disadvantaged people,http://educationalfirststeps.org/about-us/,,
Child Care,Child Care,Small Miracle Foundation,"3124 Stonehenge dr, Richardson, TX, 75082",,972-965-3116,,Childcare services for the families battling with cancer.,http://www.childcareforcancerpatients.org/,,
Child Care,Child Care,Bryan's House,"3610 Pipestone rd, Dallas, TX , 75212",,214-559-3946,administration@bryanshouse.org,"Early childhood education, Respite care, Early head start, After school and summer programs",http://www.bryanshouse.org/,,
Child Care,Child Care,Head Start of Greater Dallas Inc.-American Care Academy,530 S R L Thornton Fwy 75203-3011,Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Child Care,Child Care,AVANCE Parent Child Education Program,"2060 Singleton Blvd # 103, Dallas, TX 75212",Anne Thomas,(214) 887-9907,,Parent-Child Education; Parent-Child Book Club,https://www.avance-dallas.org/,,
Child Care,Child Care,Refuse House,"2430 East Trinity Mills, Suite#300, Carrollton, TX, 75006",,972-662-5112,,"Foster-adopt/care, Legal Risk, State Adoption",http://www.refugehouse.org/,,
Child Care,Child Care,Covenant Kids,"2550 Becklymeade Ave, Suite#100, Dallas, TX 75237",,214-888-4829,,Caring home for children,http://covenantkids.org/,,
Child Care,Child Care,Amazing Grace Child and Family Services,"402 West Wheatland, Suite 120, Duncanville, TX, 75116",,972-709-7527,info@amazinggracecfs.com,Comprehensive mental health and child placing services to children and youth displaced by families,http://amazinggrace.28association.com/,,
Child Care,Child Care,Child Care Group,"8585 N. Stemmons Fwy., Ste. 500 S.
Dallas, TX 75247",,(214) 631-2273 or Toll Free (800) 441-7865,scochran@ccgroup.org,"Basic information for 808 child care centers in Dallas County into a 
single location so that you are only a click away from basic information
 such as address, size, and licensing information that can help you 
refine your search.f",http://childcarecenter.us/county/dallas_tx,,
Domestic Violence Shelters and Interventions,Womens's Shelter,Brighter Tomorrows,"1015 S Belt Line Rd, Grand Prairie, TX 75051",,(972) 263-0506,,,http://www.brightertomorrows.net/,,http://www.dallasdvresources.org/phone.php
Domestic Violence Shelters and Interventions,Womens's Shelter,Genesis Shelter,"4411 Lemmon Ave #201, Dallas, TX 75219",,214.942.2998,,,http://www.genesisshelter.org/,,http://www.dallasdvresources.org/phone.php
Domestic Violence Shelters and Interventions,Womens's Shelter,Mosaic Family Services,"4144 N Central Expy #530, Dallas, TX 75204",,214-823-4434,,,http://mosaicservices.org/,,http://www.dallasdvresources.org/phone.php
Domestic Violence Shelters and Interventions,Womens's Shelter,New Beginnings,"218 N 10th St, Garland, TX 75040",,972.276.0057,,,http://www.newbeginningcenter.org/,,http://www.dallasdvresources.org/phone.php
Domestic Violence Shelters and Interventions,Womens's Shelter,Salvation Army,"75074, 3528 14th St, Plano, TX 75074",,(972) 423-8254,,,http://www.salvationarmydfw.org/p/locations/plano,,http://www.dallasdvresources.org/phone.php
Domestic Violence Shelters and Interventions,Womens's Shelter,Salvation Army,"1418 W Buckingham Rd, Garland, TX 75040",,(972) 487-0271,,,http://www.salvationarmydfw.org/p/locations/plano,,http://www.dallasdvresources.org/phone.php
Domestic Violence Shelters and Interventions,Womens's Shelter,Salvation Army,"5554 Harry Hines Blvd, Dallas, TX 75235",,(214) 630-5611,,,http://www.salvationarmydfw.org/p/locations/plano,,http://www.dallasdvresources.org/phone.php
Domestic Violence Shelters and Interventions,Womens' Shelter,The Family Place,"11722 Marsh Ln #354, Dallas, TX 75229",,214.941.1991,,,http://www.familyplace.org/,,
Domestic Violence Shelters and Interventions,Women's Shelter,"Shelter Ministries of Dallas, Inc",,,(214) 421-1100,"cathy@shelterdallas.org

",Provides programs and services free of charge to those in need at no cost to Dallas County tax payers.,,,
